country,question_number,question_id,criteria_short,scale,answer,weight_sum,book_count_unweighted,proportion,aggregation
France,8,q8,are there different countries in space? Or just one?,ordinal,Multiple distinct space polities,1,1,0.16666666666666666,mode
France,8,q8,are there different countries in space? Or just one?,ordinal,No political order / ungoverned,1,1,0.16666666666666666,mode
France,8,q8,are there different countries in space? Or just one?,ordinal,Other / Unsure,1,1,0.16666666666666666,mode
France,8,q8,are there different countries in space? Or just one?,ordinal,Single unified authority,3,3,0.5,mode
France,9,q9,genre of the book,nominal,Adventure / exploration,3,3,0.5,mode
France,9,q9,genre of the book,nominal,Drama,1,1,0.16666666666666666,mode
France,9,q9,genre of the book,nominal,Political / diplomatic,2,2,0.3333333333333333,mode
France,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Entirely civilian,4,4,0.6666666666666666,mode
France,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Mixed civilian-military domain,1,1,0.16666666666666666,mode
France,10,q10,is space a military or civilian domain / is the book military or civilian?,ordinal,Mostly civilian with some military presence,1,1,0.16666666666666666,mode
France,11,q11,Is space characterized like another military domain?,nominal,Like cyberspace / networked or abstract domain,1,1,0.16666666666666666,mode
France,11,q11,Is space characterized like another military domain?,nominal,Like the frontier / colonial expansion,5,5,0.8333333333333334,mode
France,12,q12,how physically different is space from earth?,ordinal,Almost Earth-like,1,1,0.16666666666666666,mode
France,12,q12,how physically different is space from earth?,ordinal,Somewhat different (manageable environmental differences),2,2,0.3333333333333333,mode
France,12,q12,how physically different is space from earth?,ordinal,Very different (human bodies/technology constantly challenged),3,3,0.5,mode
Japan,1,q1,is space something to be contested,ordinal,High contestation (frequent conflict or strategic struggle),3.25,4,0.3611111111111111,mode
Japan,1,q1,is space something to be contested,ordinal,"Low contestation (minor competition, little open conflict)",1.5,3,0.16666666666666666,mode
Japan,1,q1,is space something to be contested,ordinal,No contestation,1,1,0.1111111111111111,mode
